prot,pred,gt,err,gt_coll,pred_coll,over,rand_over,zero_loss
7EC1A_7VFNC,1,1,0.0768640582877785,0.583957345279476,0.596742755366552,0.815699658703072,0.590280825838742,0.9967647
1AUPA_1HRDC,1,1,0.0789194341056039,0.628277300557355,0.604966438496909,0.893309222423146,0.616401557729556,0.99945927
5SVDA_5WTYA,1,1,0.0853319047416394,0.516190506821469,0.554348535441457,0.929432013769363,0.534589473468238,0.9986525
2WCPA_3MVSA,2,1,0.100303085640383,0.691987973155517,0.656579974085727,0.929078014184397,0.673819137421344,0.9928085
1BA2A_1DBPA,2,1,0.10558232,0.769481811683276,0.742143386136755,0.929095354523227,0.755565385013198,1
2XGJA_6FT6MM,1,1,0.124408824523037,0.541082009249976,0.467169454805413,0.827235772357724,0.501416553861691,0.94768816
2OEXA_4JJYB,1,1,0.131879319369894,0.582102844996979,0.61582317641875,0.919315403422983,0.598488415144004,0.999133
3TTKA_3TTMA,1,1,0.141513314151331,0.749470749978314,0.729521124593904,0.914512922465209,0.739361390382971,0.9999999
1NKSA_1NKSE,1,1,0.144219245578075,0.36533270734728,0.373371072525082,0.915492957746479,0.369308154330318,1.0000001
5E9TA_5E9TC,1,1,0.148549035145096,0.541150120131141,0.636389491135133,0.847972972972973,0.584918326794356,1.0000001
1A7LA_4O4BA,1,2,0.151101358940818,0.718555125863744,0.728757776518886,0.910112359550562,0.723620490038678,0.995334
3PHGA_4FSHB,1,1,0.153124652949831,0.626937260718608,0.709329729295703,0.88,0.665593389276431,0.9904908
1LAFE_1LAFE,1,1,0.157832234823878,0.721964666967747,0.728374723851028,0.895348837209302,0.725155530163133,0.9981404
5L5KA_5L5LB,1,1,0.1636046653021,0.513465392302319,0.650604380693075,0.785714285714286,0.573956718602123,0.9942593
1DFBH_3Q6FF,1,1,0.164463823407812,0.692273434222505,0.7779456940133,0.904191616766467,0.732613427332337,0.99332684
4F3TA_4KXTA,1,1,0.16744085764265,0.481758273521278,0.516504072792382,0.793532338308458,0.498526487138447,0.98447716
1IB2A_3GVOA,2,2,0.176382305599145,0.552732374423727,0.578157177276948,0.901554404145078,0.565158974023292,0.989669
2A74C_2QKIC,3,3,0.178179750245698,0.765466823346972,0.752115403970801,0.941176470588235,0.758732381948621,0.99792075
5T1PA_5T1PE,1,1,0.17824633989497,0.737560041684236,0.745795293579896,0.877846790890269,0.741654807508071,0.999903
3GLRA_5D7NF,1,1,0.178652520279508,0.724760075472712,0.688285024890474,0.894736842105263,0.706051783425941,0.9767865
4F5CA_4F5CA,1,1,0.182144378815609,0.365035251396021,0.412687671207772,0.805120910384068,0.387401588480923,0.99688226
3OETA_3OETB,1,1,0.191600965410843,0.532910093581771,0.6715697208698,0.80794701986755,0.594258664199139,0.98637384
1A8EA_1A8EA,1,1,0.19618512718986,0.762504852526726,0.719359922830851,0.901234567901235,0.740304299006523,0.9963766
7NDRA_7NDRA,1,1,0.202463750730779,0.712260486295732,0.740248798561218,0.889411764705882,0.725984989892812,0.99968636
3KHXA_3KHXA,2,2,0.204300848470051,0.765940842290771,0.780622631315481,0.923312883435583,0.773212048448059,0.9960988
3WT1A_3WT2B,1,1,0.204573832308616,0.765527793885436,0.775570635876746,0.924731182795699,0.770516491898148,0.9999667
4LVCA_4LVCD,3,1,0.205140326693427,0.684136771733485,0.59003386069484,0.842281879194631,0.633610366454462,0.99978626
1MWKA_1MWKA,1,1,0.205617012498955,0.536302475963688,0.560022002555808,0.851428571428571,0.547905647368945,0.9976994
1FGSA_1JBWA,1,1,0.206454710172203,0.627474181244381,0.522156007999437,0.824786324786325,0.569990970429873,0.99296635
1PB7A_4KFQB,1,1,0.207874708780587,0.581713427902751,0.65013138588246,0.864553314121037,0.614022404180523,0.97892255
1M3IA_1M3IA,2,1,0.219094903145694,0.716786038171165,0.71541290129466,0.902255639097744,0.716098811477684,0.99999994
1BL9A_1HZUA,2,1,0.21979620266346,0.405078616256835,0.44378234611558,0.823529411764706,0.423548134858964,0.9919953
1BA2A_1URPA,2,1,0.22447525,0.771486382097547,0.749864252082093,0.912621359223301,0.760521665296505,1
4P6VC_4P6VC,2,1,0.225926506536357,0.527976538406141,0.315437821108991,0.710900473933649,0.394927515740293,0.94064474
1CKMA_1CKMA,1,1,0.227484361008311,0.438944333608455,0.520782716723824,0.822368421052632,0.476374240921927,0.99999094
3JTMA_3N7UB,2,1,0.230357266964273,0.605977784134686,0.697882435407216,0.850877192982456,0.648691087366965,1.0000001
4L7ZA_4L80A,1,1,0.232013797338034,0.372093614341242,0.276551688478872,0.753363228699552,0.317286248342152,0.97727257
7X5EB_7X5EB,1,1,0.232697107483319,0.660805359053053,0.686985344047346,0.915492957746479,0.673641086695603,0.9988015
4OCJA_4OCJA,1,1,0.237171627787832,0.593613443041747,0.434740132316054,0.78021978021978,0.501904389611844,0.99925363
6HWJA_6HWKA,1,1,0.237265153786726,0.584177363876294,0.532583136470166,0.785407725321888,0.557188426008241,0.9891686
4GPKA_5DBKB,1,1,0.240643127011128,0.639667739976449,0.771678300193513,0.862903225806452,0.699499201789248,0.9958033
3OCEA_3OCFB,2,1,0.241250448659129,0.510257249429631,0.489196845731668,0.727272727272727,0.499505156147082,0.9988095
